match_id,match_date,team,first_innings_score
335982,2008-04-18,Royal Challengers Bangalore,222
335982,2008-04-18,Kolkata Knight Riders,222
335984,2008-04-19,Delhi Capitals,129
335983,2008-04-19,Punjab Kings,240
335983,2008-04-19,Chennai Super Kings,240
335984,2008-04-19,Rajasthan Royals,129
335985,2008-04-20,Royal Challengers Bangalore,165
335986,2008-04-20,Sunrisers Hyderabad,110
335985,2008-04-20,Mumbai Indians,165
335986,2008-04-20,Kolkata Knight Riders,110
335987,2008-04-21,Rajasthan Royals,166
335987,2008-04-21,Punjab Kings,166
335988,2008-04-22,Delhi Capitals,142
335988,2008-04-22,Sunrisers Hyderabad,142
335989,2008-04-23,Mumbai Indians,208
335989,2008-04-23,Chennai Super Kings,208
335990,2008-04-24,Rajasthan Royals,214
335990,2008-04-24,Sunrisers Hyderabad,214
335991,2008-04-25,Mumbai Indians,182
335991,2008-04-25,Punjab Kings,182
335993,2008-04-26,Kolkata Knight Riders,147
335992,2008-04-26,Rajasthan Royals,135
335993,2008-04-26,Chennai Super Kings,147
335992,2008-04-26,Royal Challengers Bangalore,135
335994,2008-04-27,Mumbai Indians,154
335995,2008-04-27,Delhi Capitals,158
335994,2008-04-27,Sunrisers Hyderabad,154
335995,2008-04-27,Punjab Kings,158
335996,2008-04-28,Royal Challengers Bangalore,178
335996,2008-04-28,Chennai Super Kings,178
335997,2008-04-29,Kolkata Knight Riders,137
335997,2008-04-29,Mumbai Indians,137
335998,2008-04-30,Delhi Capitals,191
335998,2008-04-30,Royal Challengers Bangalore,191
335999,2008-05-01,Sunrisers Hyderabad,164
336000,2008-05-01,Kolkata Knight Riders,196
335999,2008-05-01,Punjab Kings,164
336000,2008-05-01,Rajasthan Royals,196
336001,2008-05-02,Delhi Capitals,169
336001,2008-05-02,Chennai Super Kings,169
336003,2008-05-03,Kolkata Knight Riders,178
336034,2008-05-03,Royal Challengers Bangalore,156
336034,2008-05-03,Sunrisers Hyderabad,156
336003,2008-05-03,Punjab Kings,178
336005,2008-05-04,Rajasthan Royals,109
336004,2008-05-04,Mumbai Indians,162
336005,2008-05-04,Chennai Super Kings,109
336004,2008-05-04,Delhi Capitals,162
336006,2008-05-05,Royal Challengers Bangalore,126
336006,2008-05-05,Punjab Kings,126
336007,2008-05-06,Chennai Super Kings,144
336007,2008-05-06,Sunrisers Hyderabad,144
336008,2008-05-07,Rajasthan Royals,103
336008,2008-05-07,Mumbai Indians,103
336010,2008-05-08,Kolkata Knight Riders,129
336010,2008-05-08,Royal Challengers Bangalore,129
336009,2008-05-08,Delhi Capitals,187
336009,2008-05-08,Chennai Super Kings,187
336011,2008-05-09,Sunrisers Hyderabad,140
336011,2008-05-09,Rajasthan Royals,140
336013,2008-05-10,Punjab Kings,181
336013,2008-05-10,Chennai Super Kings,181
336015,2008-05-11,Delhi Capitals,156
336014,2008-05-11,Kolkata Knight Riders,204
336015,2008-05-11,Rajasthan Royals,156
336014,2008-05-11,Sunrisers Hyderabad,204
336016,2008-05-12,Punjab Kings,143
336016,2008-05-12,Royal Challengers Bangalore,143
336017,2008-05-13,Kolkata Knight Riders,133
336017,2008-05-13,Delhi Capitals,133
336018,2008-05-14,Chennai Super Kings,156
336018,2008-05-14,Mumbai Indians,156
336020,2008-05-15,Sunrisers Hyderabad,194
336020,2008-05-15,Delhi Capitals,194
336021,2008-05-16,Mumbai Indians,67
336021,2008-05-16,Kolkata Knight Riders,67
336023,2008-05-17,Rajasthan Royals,197
336022,2008-05-17,Punjab Kings,118
336023,2008-05-17,Royal Challengers Bangalore,197
336022,2008-05-17,Delhi Capitals,118
336025,2008-05-18,Kolkata Knight Riders,149
336024,2008-05-18,Mumbai Indians,178
336025,2008-05-18,Chennai Super Kings,149
336024,2008-05-18,Sunrisers Hyderabad,178
336026,2008-05-19,Delhi Capitals,154
336026,2008-05-19,Royal Challengers Bangalore,154
336027,2008-05-20,Kolkata Knight Riders,147
336027,2008-05-20,Rajasthan Royals,147
336029,2008-05-21,Royal Challengers Bangalore,126
336028,2008-05-21,Punjab Kings,189
336028,2008-05-21,Mumbai Indians,189
336029,2008-05-21,Chennai Super Kings,126
336031,2008-05-23,Sunrisers Hyderabad,175
336031,2008-05-23,Punjab Kings,175
336033,2008-05-24,Rajasthan Royals,211
336033,2008-05-24,Chennai Super Kings,211
336032,2008-05-24,Mumbai Indians,176
336032,2008-05-24,Delhi Capitals,176
336002,2008-05-25,Sunrisers Hyderabad,165
336002,2008-05-25,Royal Challengers Bangalore,165
336035,2008-05-25,Kolkata Knight Riders,174
336035,2008-05-25,Punjab Kings,174
336036,2008-05-26,Mumbai Indians,145
336036,2008-05-26,Rajasthan Royals,145
336037,2008-05-27,Sunrisers Hyderabad,147
336037,2008-05-27,Chennai Super Kings,147
336019,2008-05-28,Rajasthan Royals,221
336012,2008-05-28,Mumbai Indians,122
336012,2008-05-28,Royal Challengers Bangalore,122
336019,2008-05-28,Punjab Kings,221
336038,2008-05-30,Rajasthan Royals,192
336038,2008-05-30,Delhi Capitals,192
336039,2008-05-31,Chennai Super Kings,112
336039,2008-05-31,Punjab Kings,112
336040,2008-06-01,Rajasthan Royals,163
336040,2008-06-01,Chennai Super Kings,163
392181,2009-04-18,Chennai Super Kings,165
392181,2009-04-18,Mumbai Indians,165
392182,2009-04-18,Rajasthan Royals,133
392182,2009-04-18,Royal Challengers Bangalore,133
392183,2009-04-19,Delhi Capitals,104
392184,2009-04-19,Kolkata Knight Riders,101
392183,2009-04-19,Punjab Kings,104
392184,2009-04-19,Sunrisers Hyderabad,101
392185,2009-04-20,Royal Challengers Bangalore,179
392185,2009-04-20,Chennai Super Kings,179
392186,2009-04-21,Punjab Kings,158
392186,2009-04-21,Kolkata Knight Riders,158
392188,2009-04-22,Royal Challengers Bangalore,184
392188,2009-04-22,Sunrisers Hyderabad,184
392189,2009-04-23,Chennai Super Kings,189
392189,2009-04-23,Delhi Capitals,189
392191,2009-04-24,Punjab Kings,168
392191,2009-04-24,Royal Challengers Bangalore,168
392192,2009-04-25,Sunrisers Hyderabad,168
392192,2009-04-25,Mumbai Indians,168
392194,2009-04-26,Royal Challengers Bangalore,149
392195,2009-04-26,Punjab Kings,139
392194,2009-04-26,Delhi Capitals,149
392195,2009-04-26,Rajasthan Royals,139
392197,2009-04-27,Mumbai Indians,187
392196,2009-04-27,Sunrisers Hyderabad,165
392197,2009-04-27,Kolkata Knight Riders,187
392196,2009-04-27,Chennai Super Kings,165
392198,2009-04-28,Delhi Capitals,143
392198,2009-04-28,Rajasthan Royals,143
392200,2009-04-29,Punjab Kings,119
392200,2009-04-29,Mumbai Indians,119
392199,2009-04-29,Kolkata Knight Riders,139
392199,2009-04-29,Royal Challengers Bangalore,139
392201,2009-04-30,Delhi Capitals,148
392201,2009-04-30,Sunrisers Hyderabad,148
392202,2009-04-30,Chennai Super Kings,164
392202,2009-04-30,Rajasthan Royals,164
392203,2009-05-01,Kolkata Knight Riders,148
392204,2009-05-01,Royal Challengers Bangalore,145
392204,2009-05-01,Punjab Kings,145
392203,2009-05-01,Mumbai Indians,148
392206,2009-05-02,Delhi Capitals,163
392206,2009-05-02,Chennai Super Kings,163
392205,2009-05-02,Rajasthan Royals,141
392205,2009-05-02,Sunrisers Hyderabad,141
392208,2009-05-03,Mumbai Indians,149
392207,2009-05-03,Kolkata Knight Riders,153
392208,2009-05-03,Royal Challengers Bangalore,149
392207,2009-05-03,Punjab Kings,153
392209,2009-05-04,Chennai Super Kings,178
392209,2009-05-04,Sunrisers Hyderabad,178
392210,2009-05-05,Rajasthan Royals,211
392211,2009-05-05,Delhi Capitals,154
392210,2009-05-05,Punjab Kings,211
392211,2009-05-05,Kolkata Knight Riders,154
392212,2009-05-06,Sunrisers Hyderabad,145
392212,2009-05-06,Mumbai Indians,145
392213,2009-05-07,Royal Challengers Bangalore,105
392214,2009-05-07,Chennai Super Kings,185
392214,2009-05-07,Punjab Kings,185
392213,2009-05-07,Rajasthan Royals,105
392215,2009-05-08,Mumbai Indians,116
392215,2009-05-08,Delhi Capitals,116
392216,2009-05-09,Sunrisers Hyderabad,168
392217,2009-05-09,Chennai Super Kings,140
392217,2009-05-09,Rajasthan Royals,140
392216,2009-05-09,Punjab Kings,168
392218,2009-05-10,Royal Challengers Bangalore,157
392219,2009-05-10,Kolkata Knight Riders,123
392218,2009-05-10,Mumbai Indians,157
392219,2009-05-10,Delhi Capitals,123
392220,2009-05-11,Sunrisers Hyderabad,166
392220,2009-05-11,Rajasthan Royals,166
392221,2009-05-12,Kolkata Knight Riders,173
392222,2009-05-12,Punjab Kings,119
392221,2009-05-12,Royal Challengers Bangalore,173
392222,2009-05-12,Mumbai Indians,119
392223,2009-05-13,Sunrisers Hyderabad,173
392223,2009-05-13,Delhi Capitals,173
392225,2009-05-14,Mumbai Indians,145
392225,2009-05-14,Rajasthan Royals,145
392224,2009-05-14,Royal Challengers Bangalore,129
392224,2009-05-14,Chennai Super Kings,129
392226,2009-05-15,Delhi Capitals,120
392226,2009-05-15,Punjab Kings,120
392228,2009-05-16,Kolkata Knight Riders,160
392227,2009-05-16,Chennai Super Kings,147
392228,2009-05-16,Sunrisers Hyderabad,160
392227,2009-05-16,Mumbai Indians,147
392229,2009-05-17,Sunrisers Hyderabad,134
392230,2009-05-17,Delhi Capitals,150
392230,2009-05-17,Rajasthan Royals,150
392229,2009-05-17,Punjab Kings,134
392231,2009-05-18,Chennai Super Kings,188
392231,2009-05-18,Kolkata Knight Riders,188
392232,2009-05-19,Delhi Capitals,134
392232,2009-05-19,Royal Challengers Bangalore,134
392234,2009-05-20,Chennai Super Kings,116
392234,2009-05-20,Punjab Kings,116
392233,2009-05-20,Rajasthan Royals,101
392233,2009-05-20,Kolkata Knight Riders,101
392236,2009-05-21,Royal Challengers Bangalore,170
392236,2009-05-21,Sunrisers Hyderabad,170
392235,2009-05-21,Mumbai Indians,165
392235,2009-05-21,Delhi Capitals,165
392237,2009-05-22,Sunrisers Hyderabad,153
392237,2009-05-22,Delhi Capitals,153
392238,2009-05-23,Royal Challengers Bangalore,146
392238,2009-05-23,Chennai Super Kings,146
392239,2009-05-24,Royal Challengers Bangalore,143
392239,2009-05-24,Sunrisers Hyderabad,143
419106,2010-03-12,Sunrisers Hyderabad,161
419106,2010-03-12,Kolkata Knight Riders,161
419107,2010-03-13,Mumbai Indians,212
419108,2010-03-13,Punjab Kings,142
419108,2010-03-13,Delhi Capitals,142
419107,2010-03-13,Rajasthan Royals,212
419110,2010-03-14,Sunrisers Hyderabad,190
419109,2010-03-14,Royal Challengers Bangalore,135
419109,2010-03-14,Kolkata Knight Riders,135
419110,2010-03-14,Chennai Super Kings,190
419111,2010-03-15,Rajasthan Royals,141
419111,2010-03-15,Delhi Capitals,141
419112,2010-03-16,Royal Challengers Bangalore,203
419113,2010-03-16,Chennai Super Kings,164
419113,2010-03-16,Kolkata Knight Riders,164
419112,2010-03-16,Punjab Kings,203
