match_id,venue,match_date,first_innings_score
335982,M Chinnaswamy Stadium,2008-04-18,222
335983,"Punjab Cricket Association Stadium, Mohali",2008-04-19,240
335984,Feroz Shah Kotla,2008-04-19,129
335985,Wankhede Stadium,2008-04-20,165
335986,Eden Gardens,2008-04-20,110
335987,Sawai Mansingh Stadium,2008-04-21,166
335988,"Rajiv Gandhi International Stadium, Uppal",2008-04-22,142
335989,"MA Chidambaram Stadium, Chepauk",2008-04-23,208
335990,"Rajiv Gandhi International Stadium, Uppal",2008-04-24,214
335991,"Punjab Cricket Association Stadium, Mohali",2008-04-25,182
335992,M Chinnaswamy Stadium,2008-04-26,135
335993,"MA Chidambaram Stadium, Chepauk",2008-04-26,147
335994,Dr DY Patil Sports Academy,2008-04-27,154
335995,"Punjab Cricket Association Stadium, Mohali",2008-04-27,158
335996,M Chinnaswamy Stadium,2008-04-28,178
335997,Eden Gardens,2008-04-29,137
335998,Feroz Shah Kotla,2008-04-30,191
335999,"Rajiv Gandhi International Stadium, Uppal",2008-05-01,164
336000,Sawai Mansingh Stadium,2008-05-01,196
336001,"MA Chidambaram Stadium, Chepauk",2008-05-02,169
336034,M Chinnaswamy Stadium,2008-05-03,156
336003,"Punjab Cricket Association Stadium, Mohali",2008-05-03,178
336004,Dr DY Patil Sports Academy,2008-05-04,162
336005,Sawai Mansingh Stadium,2008-05-04,109
336006,M Chinnaswamy Stadium,2008-05-05,126
336007,"MA Chidambaram Stadium, Chepauk",2008-05-06,144
336008,Dr DY Patil Sports Academy,2008-05-07,103
336009,Feroz Shah Kotla,2008-05-08,187
336010,Eden Gardens,2008-05-08,129
336011,Sawai Mansingh Stadium,2008-05-09,140
336013,"MA Chidambaram Stadium, Chepauk",2008-05-10,181
336014,"Rajiv Gandhi International Stadium, Uppal",2008-05-11,204
336015,Sawai Mansingh Stadium,2008-05-11,156
336016,"Punjab Cricket Association Stadium, Mohali",2008-05-12,143
336017,Eden Gardens,2008-05-13,133
336018,Wankhede Stadium,2008-05-14,156
336020,Feroz Shah Kotla,2008-05-15,194
336021,Wankhede Stadium,2008-05-16,67
336022,Feroz Shah Kotla,2008-05-17,118
336023,Sawai Mansingh Stadium,2008-05-17,197
336024,"Rajiv Gandhi International Stadium, Uppal",2008-05-18,178
336025,Eden Gardens,2008-05-18,149
336026,M Chinnaswamy Stadium,2008-05-19,154
336027,Eden Gardens,2008-05-20,147
336028,Wankhede Stadium,2008-05-21,189
336029,"MA Chidambaram Stadium, Chepauk",2008-05-21,126
336031,"Punjab Cricket Association Stadium, Mohali",2008-05-23,175
336033,"MA Chidambaram Stadium, Chepauk",2008-05-24,211
336032,Feroz Shah Kotla,2008-05-24,176
336035,Eden Gardens,2008-05-25,174
336002,"Rajiv Gandhi International Stadium, Uppal",2008-05-25,165
336036,Sawai Mansingh Stadium,2008-05-26,145
336037,"Rajiv Gandhi International Stadium, Uppal",2008-05-27,147
336012,M Chinnaswamy Stadium,2008-05-28,122
336019,"Punjab Cricket Association Stadium, Mohali",2008-05-28,221
336038,Wankhede Stadium,2008-05-30,192
336039,Wankhede Stadium,2008-05-31,112
336040,Dr DY Patil Sports Academy,2008-06-01,163
392182,Newlands,2009-04-18,133
392181,Newlands,2009-04-18,165
392183,Newlands,2009-04-19,104
392184,Newlands,2009-04-19,101
392185,St George's Park,2009-04-20,179
392186,Kingsmead,2009-04-21,158
392188,Newlands,2009-04-22,184
392189,Kingsmead,2009-04-23,189
392191,Kingsmead,2009-04-24,168
392192,Kingsmead,2009-04-25,168
392195,Newlands,2009-04-26,139
392194,St George's Park,2009-04-26,149
392197,St George's Park,2009-04-27,187
392196,Kingsmead,2009-04-27,165
392198,SuperSport Park,2009-04-28,143
392199,Kingsmead,2009-04-29,139
392200,Kingsmead,2009-04-29,119
392201,SuperSport Park,2009-04-30,148
392202,SuperSport Park,2009-04-30,164
392203,Buffalo Park,2009-05-01,148
392204,Kingsmead,2009-05-01,145
392205,St George's Park,2009-05-02,141
392206,New Wanderers Stadium,2009-05-02,163
392207,St George's Park,2009-05-03,153
392208,New Wanderers Stadium,2009-05-03,149
392209,Buffalo Park,2009-05-04,178
392210,Kingsmead,2009-05-05,211
392211,Kingsmead,2009-05-05,154
392212,SuperSport Park,2009-05-06,145
392214,SuperSport Park,2009-05-07,185
392213,SuperSport Park,2009-05-07,105
392215,Buffalo Park,2009-05-08,116
392216,De Beers Diamond Oval,2009-05-09,168
392217,De Beers Diamond Oval,2009-05-09,140
392218,St George's Park,2009-05-10,157
392219,New Wanderers Stadium,2009-05-10,123
392220,De Beers Diamond Oval,2009-05-11,166
392222,SuperSport Park,2009-05-12,119
392221,SuperSport Park,2009-05-12,173
392223,Kingsmead,2009-05-13,173
392224,Kingsmead,2009-05-14,129
392225,Kingsmead,2009-05-14,145
392226,OUTsurance Oval,2009-05-15,120
392227,St George's Park,2009-05-16,147
392228,New Wanderers Stadium,2009-05-16,160
392230,OUTsurance Oval,2009-05-17,150
392229,New Wanderers Stadium,2009-05-17,134
392231,SuperSport Park,2009-05-18,188
392232,New Wanderers Stadium,2009-05-19,134
392233,Kingsmead,2009-05-20,101
392234,Kingsmead,2009-05-20,116
392235,SuperSport Park,2009-05-21,165
392236,SuperSport Park,2009-05-21,170
392237,SuperSport Park,2009-05-22,153
392238,New Wanderers Stadium,2009-05-23,146
