player,total_runs,balls_faced,innings,dismissals,strike_rate,batting_avg,recent_strike_rate,ball_bowled,runs_conceded,matches,wickets,economy,bowling_avg,recent_economy
A Ashish Reddy,280.0,196.0,23.0,15.0,142.85714285714286,18.666666666666668,120.44444444444443,270.0,400.0,20.0,18.0,8.88888888888889,22.22222222222222,9.0
A Badoni,963.0,740.0,46.0,36.0,130.13513513513513,26.75,138.01981201981204,35.0,50.0,7.0,4.0,8.571428571428571,12.5,7.142857142857143
A Chandila,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,234.0,245.0,12.0,11.0,6.282051282051282,22.272727272727273,6.4
A Chopra,53.0,75.0,6.0,5.0,70.66666666666667,10.6,62.977777777777774,,,,0.0,8.529553786998122,31.396128841607563,9.1
A Choudhary,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,108.0,144.0,5.0,5.0,8.0,28.8,8.470588235294118
A Dananjaya,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,25.0,47.0,1.0,0.0,11.28,31.396128841607563,11.75
A Flintoff,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,66.0,106.0,3.0,2.0,9.636363636363637,53.0,9.636363636363637
A Kamboj,16.0,15.0,6.0,2.0,106.66666666666667,8.0,138.33333333333334,198.0,288.0,11.0,10.0,8.727272727272727,28.8,8.5
A Kumble,35.0,49.0,15.0,2.0,71.42857142857143,17.5,63.333333333333336,983.0,1089.0,42.0,45.0,6.646998982706002,24.2,7.233333333333333
A Manohar,292.0,243.0,20.0,19.0,120.16460905349795,15.368421052631579,63.24324324324324,,,,0.0,8.529553786998122,31.396128841607563,9.1
A Mhatre,240.0,131.0,7.0,7.0,183.206106870229,34.285714285714285,139.94444444444443,,,,0.0,8.529553786998122,31.396128841607563,9.1
A Mishra,381.0,440.0,55.0,30.0,86.5909090909091,12.7,87.21212121212123,3444.0,4193.0,162.0,174.0,7.304878048780488,24.097701149425287,7.866666666666666
A Mithun,34.0,26.0,6.0,5.0,130.76923076923077,6.8,116.07142857142858,312.0,477.0,16.0,7.0,9.173076923076923,68.14285714285714,9.6
A Nehra,41.0,63.0,17.0,8.0,65.07936507936508,5.125,25.0,1974.0,2537.0,88.0,106.0,7.711246200607903,23.933962264150942,9.033333333333333
A Nel,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,18.0,31.0,1.0,1.0,10.333333333333334,31.0,10.333333333333334
A Nortje,49.0,51.0,13.0,5.0,96.07843137254902,9.8,41.42857142857143,1142.0,1701.0,48.0,61.0,8.936952714535902,27.885245901639344,13.233333333333333
A Raghuvanshi,463.0,326.0,18.0,16.0,142.0245398773006,28.9375,122.16240041791825,,,,0.0,8.529553786998122,31.396128841607563,9.1
A Singh,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,486.0,639.0,23.0,28.0,7.888888888888889,22.821428571428573,9.966666666666667
A Symonds,974.0,781.0,36.0,26.0,124.71190781049937,37.46153846153846,84.61152882205513,540.0,694.0,30.0,20.0,7.711111111111111,34.7,7.7
A Uniyal,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,38.0,67.0,2.0,2.0,10.578947368421053,33.5,11.166666666666666
A Zampa,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,475.0,656.0,22.0,31.0,8.286315789473683,21.161290322580644,9.433333333333334
AA Bilakhia,69.0,88.0,7.0,5.0,78.4090909090909,13.8,78.52380952380952,,,,0.0,8.529553786998122,31.396128841607563,9.1
AA Chavan,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,255.0,339.0,13.0,8.0,7.976470588235294,42.375,8.533333333333333
AA Jhunjhunwala,217.0,218.0,15.0,14.0,99.54128440366972,15.5,64.83333333333334,88.0,130.0,10.0,1.0,8.863636363636363,130.0,8.666666666666666
AA Kazi,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,13.0,21.0,1.0,0.0,9.692307692307693,31.396128841607563,10.5
AA Noffke,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,25.0,41.0,1.0,1.0,9.84,41.0,10.25
AB Agarkar,179.0,160.0,18.0,8.0,111.87499999999999,22.375,101.71428571428571,820.0,1174.0,42.0,29.0,8.590243902439026,40.48275862068966,9.4
AB Dinda,26.0,50.0,16.0,9.0,52.0,2.888888888888889,57.5,1589.0,2103.0,75.0,69.0,7.940843297671492,30.47826086956522,8.533333333333333
AB McDonald,123.0,103.0,9.0,5.0,119.41747572815532,24.6,97.46639325586693,188.0,263.0,10.0,11.0,8.393617021276595,23.90909090909091,8.433333333333334
AB de Villiers,5181.0,3487.0,170.0,125.0,148.58044164037855,41.448,177.69119769119771,,,,0.0,8.529553786998122,31.396128841607563,9.1
AC Blizzard,120.0,91.0,7.0,7.0,131.86813186813185,17.142857142857142,85.03896103896105,,,,0.0,8.529553786998122,31.396128841607563,9.1
AC Gilchrist,2069.0,1555.0,80.0,76.0,133.05466237942122,27.223684210526315,132.96897134139698,1.0,0.0,1.0,1.0,0.0,0.0,0.0
AC Thomas,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,327.0,416.0,15.0,14.0,7.63302752293578,29.714285714285715,8.666666666666666
AC Voges,181.0,143.0,7.0,6.0,126.57342657342659,30.166666666666668,103.03831474110112,56.0,76.0,7.0,0.0,8.142857142857142,31.396128841607563,8.444444444444445
AD Hales,148.0,119.0,6.0,6.0,124.36974789915966,24.666666666666668,111.40277777777779,,,,0.0,8.529553786998122,31.396128841607563,9.1
AD Mascarenhas,79.0,79.0,11.0,10.0,100.0,7.9,78.0,310.0,365.0,13.0,19.0,7.064516129032258,19.210526315789473,7.033333333333333
AD Mathews,724.0,599.0,41.0,31.0,120.86811352253757,23.35483870967742,78.34210526315789,807.0,1095.0,44.0,27.0,8.141263940520446,40.55555555555556,8.5
AD Nath,90.0,99.0,10.0,10.0,90.9090909090909,9.0,93.82142857142857,,,,0.0,8.529553786998122,31.396128841607563,9.1
AD Russell,2655.0,1626.0,114.0,92.0,163.28413284132841,28.858695652173914,129.94397759103646,1885.0,2909.0,121.0,123.0,9.25941644562334,23.650406504065042,10.533333333333333
AF Milne,23.0,31.0,6.0,5.0,74.19354838709677,4.6,50.14705882352941,217.0,339.0,10.0,7.0,9.373271889400922,48.42857142857143,9.733333333333333
AG Murtaza,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,269.0,322.0,12.0,9.0,7.182156133828996,35.77777777777778,7.3
AJ Finch,2092.0,1696.0,90.0,83.0,123.34905660377358,25.204819277108435,98.2843137254902,44.0,67.0,5.0,1.0,9.136363636363637,67.0,8.375
AJ Hosein,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,24.0,41.0,1.0,1.0,10.25,41.0,10.25
AJ Turner,24.0,31.0,6.0,5.0,77.41935483870968,4.8,48.77344877344878,,,,0.0,8.529553786998122,31.396128841607563,9.1
AJ Tye,91.0,79.0,13.0,8.0,115.18987341772151,11.375,42.59740259740259,714.0,1005.0,30.0,42.0,8.445378151260504,23.928571428571427,11.033333333333333
AK Markram,1440.0,1093.0,55.0,46.0,131.74748398902105,31.304347826086957,133.96083916083916,191.0,275.0,19.0,6.0,8.638743455497382,45.833333333333336,8.8
AL Menaria,401.0,367.0,23.0,22.0,109.26430517711172,18.227272727272727,93.76317799847212,113.0,144.0,12.0,3.0,7.646017699115045,48.0,7.578947368421052
